code,name,hex,textureUrl
LR064,Beton donker,#8c8c8c,/textures/decolegno/LR064.jpg
LR065,Beton licht,#bfbfbf,/textures/decolegno/LR065.jpg
LR066,Koel grijs,#9aa3a8,/textures/decolegno/LR066.jpg
LR067,Eik naturel,#b98745,/textures/decolegno/LR067.jpg
LR068,Koel grijs,#9aa3a8,/textures/decolegno/LR068.jpg
LR069,Warm grijs,#a0a0a0,/textures/decolegno/LR069.jpg
LR070,Noten,#7a5034,/textures/decolegno/LR070.jpg
LR071,Eik licht,#a37a41,/textures/decolegno/LR071.jpg
LR072,Eik gerookt,#7f5c35,/textures/decolegno/LR072.jpg
LR073,Eik gerookt,#7f5c35,/textures/decolegno/LR073.jpg
LR074,Beton licht,#bfbfbf,/textures/decolegno/LR074.jpg
LR075,Antraciet,#2c2c2c,/textures/decolegno/LR075.jpg
LR076,Warm grijs,#a0a0a0,/textures/decolegno/LR076.jpg
LR077,Noten,#7a5034,/textures/decolegno/LR077.jpg
LR078,Eik gerookt,#7f5c35,/textures/decolegno/LR078.jpg
LR079,Koel grijs,#9aa3a8,/textures/decolegno/LR079.jpg
LR080,Beton licht,#bfbfbf,/textures/decolegno/LR080.jpg
LR081,Eik naturel,#b98745,/textures/decolegno/LR081.jpg
LR082,Eik licht,#a37a41,/textures/decolegno/LR082.jpg
LR083,Antraciet,#2c2c2c,/textures/decolegno/LR083.jpg
LR084,Eik licht,#a37a41,/textures/decolegno/LR084.jpg
LR085,Antraciet,#2c2c2c,/textures/decolegno/LR085.jpg
LR086,Noten,#7a5034,/textures/decolegno/LR086.jpg
LR087,Antraciet,#2c2c2c,/textures/decolegno/LR087.jpg
LR088,Koel grijs,#9aa3a8,/textures/decolegno/LR088.jpg
LR089,Eik gerookt,#7f5c35,/textures/decolegno/LR089.jpg
LR090,Eik gerookt,#7f5c35,/textures/decolegno/LR090.jpg
LR091,Eik naturel,#b98745,/textures/decolegno/LR091.jpg
LR092,Antraciet,#2c2c2c,/textures/decolegno/LR092.jpg
LR093,Noten,#7a5034,/textures/decolegno/LR093.jpg
LR094,Beton donker,#8c8c8c,/textures/decolegno/LR094.jpg
LR095,Beton licht,#bfbfbf,/textures/decolegno/LR095.jpg
LR096,Eik naturel,#b98745,/textures/decolegno/LR096.jpg
LR097,Warm grijs,#a0a0a0,/textures/decolegno/LR097.jpg
LR098,Noten,#7a5034,/textures/decolegno/LR098.jpg
LR099,Koel grijs,#9aa3a8,/textures/decolegno/LR099.jpg
LR100,Eik gerookt,#7f5c35,/textures/decolegno/LR100.jpg
LR101,Antraciet,#2c2c2c,/textures/decolegno/LR101.jpg
LR102,Noten,#7a5034,/textures/decolegno/LR102.jpg
LR103,Warm grijs,#a0a0a0,/textures/decolegno/LR103.jpg
LR104,Noten,#7a5034,/textures/decolegno/LR104.jpg
LR105,Beton donker,#8c8c8c,/textures/decolegno/LR105.jpg
LR106,Beton licht,#bfbfbf,/textures/decolegno/LR106.jpg
LR107,Noten,#7a5034,/textures/decolegno/LR107.jpg
LR108,Koel grijs,#9aa3a8,/textures/decolegno/LR108.jpg
LR109,Noten,#7a5034,/textures/decolegno/LR109.jpg
LR110,Noten,#7a5034,/textures/decolegno/LR110.jpg
LR111,Koel grijs,#9aa3a8,/textures/decolegno/LR111.jpg
LR112,Antraciet,#2c2c2c,/textures/decolegno/LR112.jpg
LR113,Eik gerookt,#7f5c35,/textures/decolegno/LR113.jpg
LR114,Warm grijs,#a0a0a0,/textures/decolegno/LR114.jpg
LR115,Eik licht,#a37a41,/textures/decolegno/LR115.jpg
LR116,Eik licht,#a37a41,/textures/decolegno/LR116.jpg
LR117,Eik gerookt,#7f5c35,/textures/decolegno/LR117.jpg
LR118,Noten,#7a5034,/textures/decolegno/LR118.jpg
LR119,Beton licht,#bfbfbf,/textures/decolegno/LR119.jpg
LR120,Warm grijs,#a0a0a0,/textures/decolegno/LR120.jpg
