code,name,hex,textureUrl
U100,Lichtgrijs,#d9d9d9,/textures/unilin/U100.jpg
U101,Wit,#f5f5f5,/textures/unilin/U101.jpg
U102,Grijs,#b3b3b3,/textures/unilin/U102.jpg
U103,Natural Oak,#a7814a,/textures/unilin/U103.jpg
U104,Natural Oak,#a7814a,/textures/unilin/U104.jpg
U105,Concrete Dark,#7a7a7a,/textures/unilin/U105.jpg
U106,Natural Oak,#a7814a,/textures/unilin/U106.jpg
U107,Walnut,#6f4a2f,/textures/unilin/U107.jpg
U108,Walnut,#6f4a2f,/textures/unilin/U108.jpg
U109,Walnut,#6f4a2f,/textures/unilin/U109.jpg
U110,Grijs,#b3b3b3,/textures/unilin/U110.jpg
U111,Concrete Light,#bcbcbc,/textures/unilin/U111.jpg
U112,Natural Oak,#a7814a,/textures/unilin/U112.jpg
U113,Zwart,#222222,/textures/unilin/U113.jpg
U114,Grijs,#b3b3b3,/textures/unilin/U114.jpg
U115,Walnut,#6f4a2f,/textures/unilin/U115.jpg
U116,Grijs,#b3b3b3,/textures/unilin/U116.jpg
U117,Natural Oak,#a7814a,/textures/unilin/U117.jpg
U118,Natural Oak,#a7814a,/textures/unilin/U118.jpg
U119,Concrete Dark,#7a7a7a,/textures/unilin/U119.jpg
U120,Zwart,#222222,/textures/unilin/U120.jpg
